"Isbn"	"Title"
"9780312313814"	"The Dirty Girls Social Club: A Novel"
"9780312314255"	"Year's Best Fantasy And Horror: Sixteenth Edition"
"9780312315603"	"Big Lies: The Right-Wing Propaganda Machine And How It Distorts The Tr"
"9780312316167"	"I Capture The Castle"
"9780312316693"	"The Tristan Betrayal"
"9780312318895"	"The Perfumed Sleeve: A Novel (Sano Ichiro Mystery)"
"9780312319144"	"Paranoia"
"9780312319519"	"Avenger"
"9780312320249"	"The Blessing Stone"
"9780312327187"	"Eddie Would Go: The Story Of Eddie Aikau, Hawaiian Hero And Pioneer Of"
"9780312330736"	"Howard Dean In His Own Words"
"9780312373085"	"The Hills Are Eternal"
"9780312420024"	"A Cold Case"
"9780312420048"	"Pages For You: A Novel"
"9780312420147"	"The Twenty-Seventh City (Bestselling Backlist)"
"9780312420284"	"The Storyteller: A Novel"
"9780312420321"	"A Good House: A Novel"
"9780312420369"	"The Debt To Pleasure: A Novel"
"9780312421007"	"I Thought My Father Was God: And Other True Tales From NPR's National "
"9780312421038"	"Eva Moves The Furniture: A Novel"
"9780312421113"	"Elegy For Iris"
"9780312421182"	"The Silence Of The Rain: An Inspector Espinosa Mystery"
"9780312421274"	"The Corrections: A Novel"
"9780312421304"	"In Praise Of The Stepmother: A Novel"
"9780312422158"	"Middlesex: A Novel"
"9780312422271"	"Running With Scissors: A Memoir"
"9780312422547"	"The Language Of Passion: Selected Commentary"
"9780312422585"	"Dress Codes: Of Three Girlhoods--My Mother's, My Father's, And Mine"
"9780312422608"	"Blue Latitudes: Boldly Going Where Captain Cook Has Gone Before"
"9780312423186"	"Dancer: A Novel"
"9780312423209"	"Mason &amp; Dixon: A Novel"
"9780312423797"	"Dry: A Memoir"
"9780312491673"	"My Picture Atlas (Smart Kids)"
"9780312532253"	"The Michaelmas Tree"
"9780312549053"	"Moses The Kitten"
"9780312610555"	"Piece Of My Heart: The Life, Times And Legend Of Janis Joplin"
"9780312636494"	"The Premature Baby Book: A Parents Guide To Coping And Caring In The F"
"9780312717414"	"Shock-Trauma"
"9780312774844"	"Substitute Teaching: A Handbook For Hassle-Free Subbing"
"9780312848842"	"D/S: An Anti-Love Story"
"9780312850241"	"The Trikon Deception"
"9780312850517"	"Midnight Sun"
"9780312850586"	"Pastwatch: The Redemption Of Christopher Columbus"
"9780312852481"	"Dragon Reborn (The Wheel Of Time, Book 3)"
"9780312853235"	"Ender's Game (Ender Wiggin Saga)"
"9780312853747"	"The Element Of Fire"
"9780312854133"	"Letters To Jenny"
"9780312854287"	"Lord Of Chaos (The Wheel Of Time, Book 6)"
"9780312855222"	"Beowulf's Children"
"9780312855482"	"Elvenblood: An Epic High Fantasy (The Halfblood Chronicles)"
"9780312857325"	"Lovelock (Mayflower)"
"9780312858810"	"Ghostlight"
"9780312858957"	"The Blind Mirror"
"9780312859046"	"The Parafaith War"
"9780312859275"	"Issola (The Vlad Taltos Novels)"
"9780312859589"	"Shadow Of Ashland"
"9780312860127"	"Return To The House Of Usher"
"9780312860226"	"The Soprano Sorceress"
"9780312860370"	"Starfarers"
"9780312860684"	"Grimmy: Friends Don't Let Friends Own Cats!"
"9780312860950"	"Reliquary"
"9780312861230"	"In The Arms Of The Sky"
"9780312861292"	"Eden's Gate"
"9780312861599"	"The Dragon In Lyonesse"
"9780312862084"	"The Abductors: Conspiracy"
"9780312862091"	"Preternatural"
"9780312862589"	"The Books Of Great Alta: Comprising 'Sister Light, Sister Dark' And 'W"
"9780312863401"	"Hope Of Earth (Geodyssey)"
"9780312863463"	"Secret Passages"
"9780312863852"	"Robert Bloch: Appreciations Of The Master"
"9780312863937"	"Yarrow"
"9780312864125"	"The Young Savages"
"9780312864668"	"Dream A Little Dream: A Tale Of Myth And Moonshine"
"9780312864835"	"The Crystal City (Tales Of Alvin Maker, Book 6)"
"9780312864873"	"Household Gods"
"9780312865030"	"Gravelight"
"9780312865047"	"I Am Legend"
"9780312865108"	"Greenmantle"
"9780312865696"	"Irish Mist: A Nuala Anne McGrail Novel"
"9780312866716"	"Preternatural Too: Gyre"
"9780312866921"	"Dragon"
"9780312867393"	"The Best Of Crank!"
"9780312867546"	"1921: The Great Novel Of The Irish Civil War"
"9780312867805"	"Starlight 3 (Starlight (Tor Hardcover))"
"9780312868277"	"Dark Cities Underground"
"9780312868307"	"Flesh And Gold"
"9780312868338"	"The Tooth Fairy"
"9780312868857"	"Hell House"
"9780312869069"	"Swell Foop (Xanth Novels)"
"9780312869083"	"Conspiracy.Com: A Novel"
"9780312869595"	"Jack Of Kinrowan: Jack The Giant-Killer And Drink Down The Moon"
"9780312869939"	"White As Snow (Fairy Tale Series)"
"9780312870546"	"The Miocene Arrow"
"9780312870584"	"01-01-00"
"9780312871888"	"Irish Stew!"
"9780312871932"	"The Marriage Of Sticks"
"9780312871994"	"The Light Of Other Days"
"9780312872359"	"The Ring Of Five Dragons (Pearl)"
"9780312872366"	"The Veil Of A Thousand Tears (The Pearl Saga, Book 2)"
"9780312872373"	"Mistress Of The Pearl (The Pearl, Book 3)"
"9780312872397"	"Kushiel's Chosen"
"9780312872403"	"Kushiel's Avatar"
"9780312872687"	"The James Dean Affair: A Neil Gulliver &amp; Stevie Marriner Novel"
"9780312872830"	"Witch Hill"
"9780312873080"	"Elixir"
"9780312873974"	"The Onion Girl"
"9780312874001"	"Angel Of Darkness"
"9780312874018"	"Tapping The Dream Tree"
"9780312874414"	"A Sorcerer's Treason: A Novel Of Isavalta (Isavalta, Book 1)"
"9780312874476"	"Witness For The Dead"
"9780312874995"	"Escape From Kathmandu"
"9780312875497"	"White As Snow (Fairy Tale)"
"9780312875565"	"The White Mare's Daughter"
"9780312875671"	"I Am Of Irelaunde: A Novel Of Patrick And Osian"
"9780312875688"	"Forests Of The Heart (Newford)"
"9780312876340"	"Dark As Day (Cold As Ice Book 2)"
"9780312876517"	"Shadow Of The Hegemon (Ender Wiggin Saga)"
"9780312876616"	"Vivienne"
"9780312876913"	"Humans (The Neanderthal Parallax, Book 2)"
"9780312877996"	"Gene Roddenberry's Earth: Final Conflict--Augur's Teacher"
"9780312879013"	"More Than Mortal"
"9780312890049"	"Moonheart"
"9780312890223"	"The Awakeners: Northshore &amp; Southshore"
"9780312890247"	"Prince Ombra"
"9780312890278"	"Ancient Of Days"
"9780312890520"	"Blood Of The Fold (Sword Of Truth, Book 3)"
"9780312890537"	"Temple Of The Winds (Sword Of Truth, Book 4)"
"9780312894702"	"Writing From Sources"
"9780312901431"	"James Herriots Dog Stories"
"9780312901929"	"The Fallen Angels"
"9780312904562"	"Images"
"9780312905828"	"A Habit Of The Blood"
"9780312906559"	"The Space Merchants"
"9780312906764"	"Dagon"
"9780312908836"	"Night Of Error"
"9780312909239"	"Zombie!"
"9780312911911"	"Man Of The House"
"9780312912154"	"Deadly Blessing"
"9780312912956"	"The Man From Lake Wobegon"
"9780312913434"	"Mother On Trial: The Mysterious Death Of An Outback Baby"
"9780312914875"	"The Golden Calves"
"9780312916459"	"The Med"
"9780312916671"	"Friends, Russians And Countrymen"
"9780312921095"	"Treason"
"9780312922726"	"Modern Women"
"9780312922887"	"Shadow Dancers"
"9780312923853"	"Probable Cause: When One Man's Passion For Justice Becomes An Obsessio"
"9780312924294"	"The Westies: Inside New York's Irish Mob"
"9780312924584"	"The Silence Of The Lambs"
"9780312924805"	"September"
"9780312925581"	"James Herriot's Dog Stories: Warm And Wonderful Stories About The Anim"
"9780312925772"	"Night Thoughts - Reflections Of A Sex Therapist"
"9780312926144"	"By Way Of Deception: The Making And Unmaking Of A Mossad Officer"
"9780312926298"	"The Carousel"
"9780312926458"	"Unanswered Cries: A True Story Of Friends, Neighbors, And Murder In A "
"9780312927615"	"Deadly Lessons (True Crime Library)"
"9780312927745"	"Flowers In The Rain: &amp; Other Stories"
"9780312927783"	"Adams V. Texas"
"9780312928407"	"The Jeffrey Dahmer Story: An American Nightmare (St. Martin's True Cri"
"9780312929275"	"Life's Little Destruction Book: Everyday Rescue For Beauty, Fashion, R"
"9780312930370"	"The Call Of Earth (Homecoming)"
"9780312931124"	"Cat Magic"
"9780312932015"	"Walkers (Tor Horror)"
"9780312941659"	"Firechild"
"9780312942199"	"Huysman's Pets"
"9780312950095"	"Black Out (Law &amp; Order)"
"9780312950484"	"The Black Echo (Harry Bosch)"
"9780312950583"	"Every Living Thing"
"9780312951429"	"The Ice House: A Novel"
"9780312951467"	"Practical Demonkeeping: A Comedy Of Horrors"
"9780312951917"	"Linda Goodman's Star Signs"
"9780312952716"	"A Simple Plan"
"9780312953454"	"Blood Oath"
"9780312953492"	"Knowledge In A Nutshell"
"9780312953614"	"The Sculptress: A Novel"
"9780312954116"	"Cheapskate Monthly Money Makeover (Debt-Proof Living)"
"9780312954161"	"Indictment, The"
"9780312954215"	"Tully"
"9780312954420"	"Berserk!: Motiveless Random Massacres"
"9780312954468"	"River God: A Novel Of Ancient Egypt"
"9780312954703"	"Husband, Lover, Spy"
"9780312955007"	"The Concrete Blonde (Harry Bosch)"
"9780312955052"	"The Bridled Groom"
"9780312955427"	"Whatever Mother Says...: A True Story Of A Mother, Madness And Murder "
"9780312955519"	"The Heart Of Justice"
"9780312955731"	"White Shark"
"9780312956127"	"The Scold's Bridle: A Novel"
"9780312956431"	"Like Mother, Like Son"
"9780312956684"	"Rulers Of Darkness"
"9780312956769"	"Die Hard: With A Vengeance - A Novel"
"9780312956783"	"Titans"
"9780312957889"	"The Edge Of The City"
"9780312957926"	"Scare Tactics"
"9780312958121"	"Coming Home"
"9780312958350"	"Tap, Tap"
"9780312958367"	"My Lady Caroline"
"9780312958459"	"The Last Coyote (Harry Bosch)"
"9780312958831"	"Mysterious Valley"
"9780312959173"	"Beauty From Ashes (Georgia Trilogy)"
"9780312959241"	"Necessary Evil"
"9780312959845"	"Murder In Scorpio (An Elizabeth Chase Mystery)"
"9780312959968"	"Cracker To Say I Love You"
"9780312960742"	"Revenge Of The Barbeque Queens: At The Barbeque World Series, More Tha"
"9780312960872"	"Secrets Of Serotonin: The Natural Hormone That Curbs Food And Alcohol "
"9780312960896"	"Innocence Undone"
"9780312961008"	"The Trickster"
"9780312961046"	"School Of Hard Knocks (Ginger Barnes Main Line Mysteries)"
"9780312961299"	"Snow In April"
"9780312961329"	"The Shell Seekers"
"9780312962173"	"Long Shadows In Victory (Dead Letter Mysteries)"
"9780312962180"	"The Cleveland Connection (Milan Jacovich Mysteries)"
"9780312962258"	"Red Leaves"
"9780312962432"	"Nothing But Velvet"
"9780312962609"	"The Gourmet Detective (Culinary Mysteries)"
"9780312962944"	"The Cold Heart Of Capricorn"
"9780312963002"	"Neanderthal"
"9780312963156"	"The Last Girl"
"9780312963170"	"Here, Kitty, Kitty"
"9780312963231"	"Death In Little Tokyo (A Ken Tanaka Mystery)"
"9780312963965"	"Death Of An Angel: A Sister Mary Helen Mystery (Sister Mary Helen Myst"
"9780312964252"	"Overture To Death (Dead Letter Mysteries)"
"9780312964283"	"Death And The Dancing Footman"
"9780312964290"	"I Have Lived In The Monster: Inside The Minds Of The World's Most Noto"
"9780312964856"	"Hush Little Babies: The True Story Of A Mother Who Murdered Her Own Ch"
"9780312965143"	"Strip Jack"
"9780312965334"	"The Climb: Tragic Ambitions On Everest"
"9780312965471"	"Diamond Head (John Caine Mysteries)"
"9780312965747"	"Secrets Of St. John's Wort: Treat Depression Naturally With St. John's"
"9780312966041"	"Died In The Wool (Inspector Roderick Alleyn Mysteries)"
"9780312966058"	"Final Curtain"
"9780312966096"	"Three To Get Deadly (Stephanie Plum, No. 3)"
"9780312966195"	"All Things Bright And Beautiful"
"9780312966218"	"The Rival"
"9780312966362"	"Death At Every Stop (St. Martin's True Crime Library)"
"9780312966676"	"The Toyotomi Blades: A Ken Tanaka Mystery"
"9780312966690"	"Spinsters In Jeopardy"
"9780312966706"	"Enter A Murderer (Dead Letter Mysteries)"
"9780312966713"	"Scales Of Justice (Inspector Roderick Alleyn Mysteries)"
"9780312966775"	"Black And Blue: An Inspector Rebus Mystery (Black &amp; Blue)"
"9780312966805"	"Tell Me Lies"
"9780312966812"	"Sleeping With The Crawfish (A St. Martin's Dead Letter Mystery)"
"9780312966843"	"Quaker Indictment (Quaker Sojourn)"
"9780312966973"	"Four To Score (Stephanie Plum, No. 4)"
"9780312968076"	"Tonight You're Mine: A Novel Of Psychological Suspense"
"9780312968250"	"Lady's Man"
"9780312968328"	"Death Of A Fool (St. Martin's Dead Letter Mysteries)"
"9780312968885"	"Singing In The Shrouds"
"9780312968892"	"Evil Twins: Chilling True Stories Of Twins, Killing And Insanity (St. "
"9780312968977"	"Canapes For The Kitties"
"9780312969226"	"The Concubine's Tattoo (Sano Ichiro Mysteries)"
"9780312969769"	"You Might As Well Laugh: Because Crying Will Only Smear Your Mascara"
"9780312969882"	"The Mango Opera (St. Martin's Minotaur Mysteries)"
"9780312969905"	"Dead Water"
"9780312970123"	"If Loving You Is Wrong"
"9780312970246"	"Deepak Chopra's The Angel Is Near"
"9780312970277"	"The Court"
"9780312970307"	"Burned Alive: A Shocking True Story Of Betrayal, Kidnapping, And Murde"
"9780312970611"	"Circle Of Stones: A Novel"
"9780312970758"	"Death In Texas: A True Story Of Marriage, Money, And Murder (St. Marti"
"9780312970895"	"On The Edge"
"9780312970970"	"When In Rome"
"9780312971304"	"Catch Me"
"9780312971342"	"High Five (Stephanie Plum, No. 5)"
"9780312971366"	"Sis Boom Bah"
"9780312971373"	"Soap Opera"
"9780312971496"	"Black And White: A Novel"
"9780312971847"	"An Ocean Apart: A Novel"
"9780312971953"	"Tied Up In Tinsel"
"9780312972950"	"Faithful Unto Death: A Chief Inspector Barnaby Novel (Chief Inspector "
"9780312973056"	"Robert Ludlum's The Hades Factor"
"9780312973148"	"Light Thickens"
"9780312974169"	"To Die For: The Shocking True Story Of Serial Killer Dana Sue Gray"
"9780312974220"	"Between Husbands And Friends: A Novel"
"9780312974251"	"Welcome To Temptation"
"9780312974480"	"The Samurai's Wife: A Novel (Sano Ichiro Mysteries)"
"9780312974503"	"China Sea (Dan Lenson Novels)"
"9780312974626"	"Beyond Jennifer &amp; Jason, Madison &amp; Montana: What To Name Your "
"9780312974725"	"The Trophy Wife"
"9780312975111"	"Romancing The Rogue"
"9780312975128"	"The Unexpected Guest"
"9780312975227"	"Boy In The Water"
"9780312975852"	"The Phantom Of Manhattan"
"9780312976279"	"Hot Six (Stephanie Plum, No. 6)"
"9780312977023"	"K-Pax"
"9780312977368"	"The Church Of Dead Girls: A Novel"
"9780312977405"	"House Of Dreams"
"9780312977900"	"To Catch A Cat"
"9780312978334"	"Name Dropping: What If Two Very Different Women Had The Same Exact Nam"
"9780312978365"	"The Prometheus Deception"
"9780312978389"	"Winter Solstice"
"9780312978587"	"The Carrier"
"9780312978655"	"Skeleton Key: A Gregor Demarkian Novel (Gregor Demarkian Novels)"
"9780312978723"	"Falling For You"
"9780312978822"	"Hot Night In The City"
"9780312978860"	"Murder With Puffins (Meg Langslow Mysteries)"
"9780312979096"	"Now You See Me"
"9780312979393"	"The Eye Of The Tiger"
"9780312979478"	"And Then There Were None"
"9780312979492"	"Tempt Me Twice"
"9780312979508"	"Spider's Web"
"9780312979539"	"A Place Of Execution"
"9780312979584"	"Black Lotus (Sano Ichiro Mysteries)"
"9780312979737"	"The Witness For The Prosecution (St. Martin's Minotaur Mysteries)"
"9780312979812"	"The Sittaford Mystery (St. Martin's Minotaur Mysteries)"
"9780312979850"	"True North"
"9780312979881"	"Female Intelligence"
"9780312979973"	"Fantasy Lover"
"9780312979980"	"Night Pleasures (Dark-Hunter, Book 2)"
"9780312980146"	"Seven Up (Stephanie Plum, No. 7)"
"9780312980153"	"Fast Women"
"9780312980207"	"Never Count Out The Dead"
"9780312980320"	"The Ten Thousand: A Novel Of Ancient Greece"
"9780312980344"	"Second Thyme Around"
"9780312980351"	"Circle Of Stars"
"9780312980382"	"Warlock: A Novel Of Ancient Egypt"
"9780312980665"	"A Twist At The End"
"9780312981266"	"Temple"
"9780312981587"	"Robert Ludlum's The Cassandra Compact"
"9780312981600"	"The Mysterious Mr. Quin"
"9780312981655"	"Parker Pyne Investigates"
"9780312981686"	"Destination Unknown (St. Martin's Minotaur Mysteries)"
"9780312981846"	"Record Time"
"9780312982195"	"Gettin' Merry"
"9780312982300"	"The Wedding Night"
"9780312982508"	"America: A Jake Grafton Novel (Jake Grafton Novels)"
"9780312982515"	"The Sigma Protocol"
"9780312982614"	"Robert Ludlum's The Paris Option (A Covert-One Novel)"
"9780312983093"	"Breaking Point (St. Martin's True Crime Library)"
"9780312983215"	"Saucer"
"9780312983222"	"Area 7"
"9780312983277"	"Full House (Janet Evanovich's Full Series, No 1)"
"9780312983284"	"Full Tilt"
"9780312983291"	"Full Speed"
"9780312983307"	"Full Blast"
"9780312983338"	"I Think I Love You"
"9780312983376"	"In Harm's Way: The Sinking Of The U.S.S. Indianapolis And The Extraord"
"9780312983383"	"Killing The Shadows (St. Martin's Minotaur Mysteries)"
"9780312983413"	"Starting Over"
"9780312983482"	"Lead Me On"
"9780312983604"	"The Mermaids Singing (Dr. Tony Hill And Carol Jordan Mysteries)"
"9780312983659"	"The Wire In The Blood (St. Martin's Minotaur Mysteries.)"
"9780312983741"	"Knock Me Off My Feet"
"9780312983789"	"The Pillow Book Of Lady Wisteria (Sano Ichiro Mysteries)"
"9780312983826"	"Faking It"
"9780312983833"	"Nobody Knows"
"9780312983864"	"Hard Eight (Stephanie Plum, No. 8)"
"9780312984229"	"Room Service"
"9780312984298"	"The Corrections"
"9780312984618"	"Black For Remembrance"
"9780312984687"	"The Good Sister"
"9780312984823"	"Night Embrace (Dark-Hunter, Book 3)"
"9780312984830"	"Dance With The Devil (Dark-Hunter, Book 4)"
"9780312984861"	"The Impostor (The Liars Club, Book 2)"
"9780312985202"	"Deep Black (Stephen Coonts' Deep Black, Book 1)"
"9780312986216"	"Tempting The Heiress"
"9780312986285"	"Blackwater Sound: A Novel (Thorn Mysteries)"
"9780312986315"	"The Last Temptation: A Novel (Dr. Tony Hill And Carol Jordan Mysteries"
"9780312986346"	"Visions Of Sugar Plums (A Stephanie Plum Holiday Novel)"
"9780312986698"	"Blue Suede Clues: A Murder Mystery Featuring Elvis Presley (St. Martin"
"9780312986766"	"In The Bleak Midwinter (A Rev. Clare Fergusson And  Russ Van Alstyne M"
"9780312987015"	"Minion (Vampire Huntress Legend)"
"9780312987848"	"The Spy (Liars Club, Book 3)"
"9780312988241"	"Compulsion: A Novel (Frank Clevenger)"
"9780312988692"	"Nowhere To Run"
"9780312988913"	"The Nanny Diaries"
"9780312988999"	"American Son: A Portrait Of John F. Kennedy, Jr."
"9780312989200"	"Finding You/Knowing You: Two Brand-New Novels For One Wonderful Price!"
"9780312989385"	"The Janson Directive"
"9780312989392"	"Queen Bee Of Mimosa Branch: A Novel"
"9780312989439"	"Deadly Caress"
"9780312989477"	"A Fine And Bitter Snow: A Kate Shugak Novel (Kate Shugak Mysteries)"
"9780312989743"	"Murder At The Cat Show"
"9780312990039"	"The Dragon King's Palace: A Novel (Sano Ichiro Mysteries)"
"9780312990459"	"One For The Money (Stephanie Plum, No. 1)"
"9780312991463"	"To The Nines (Stephanie Plum, No. 9)"
"9780312992200"	"Buck Fever: A Blanco County, Texas, Novel"
"9780312992323"	"Public Displays Of Affection"
"9780312993535"	"Sons Of Fortune"
"9780312993566"	"The Tea Rose: A Novel"
"9780312995423"	"Digital Fortress: A Thriller"
"9780312995430"	"A Fountain Filled With Blood (A Rev. Clare Fergusson And Russ Van Alst"
"9780312997106"	"Planet Of The Umps: A Baseball Life From Behind The Plate"
"9780312997151"	"A Summer In The Country"
"9780312998363"	"Night Pleasures (Dark-Hunter, Book 2)"
"9780314040534"	"Mediation: Principles And Practice"
"9780314260437"	"Constitutional Law In A Nutshell (Hornbooks)"
"9780316037440"	"The Best Cat Ever"
"9780316057400"	"Vegetarian Express : Easy, Tasty, And Healthy Menus In 28 Minutes(or L"
"9780316057516"	"The Trials Of Life: A Natural History Of Animal Behavior"
"9780316070218"	"What Every Girl (except Me) Knows"
"9780316082518"	"The Last Voyage Of Somebody The Sailor"
"9780316085250"	"The Boys Of My Youth"
"9780316089692"	"Sea Glass: A Novel"
"9780316089739"	"Captain Saturday: A Novel"
"9780316089746"	"The Wooden Nickel: A Novel"
"9780316092739"	"I Will Sing Life: Voices From The Hole In The Wall Gang Camp"
"9780316095136"	"Evening Class"
"9780316095648"	"A Question Of Blood: An Inspector Rebus Novel"
"9780316096195"	"Lucky: A Memoir"
"9780316097505"	"The Gospel Of Judas : A Novel"
"9780316099813"	"Help Me To Help My Child: A Sourcebook For Parents Of Learning-Disable"
"9780316102124"	"American Icon: A Novel"
"9780316102339"	"Family Outing"
"9780316105163"	"Vic Braden's Mental Tennis: How To Psych Yourself To A Winning Game"
"9780316107013"	"Politically, Fashionably, And Aerodynamically Incorrect: The First Out"
"9780316107099"	"Toons For Our Times: A Bloom County Book Of Heavy Metal Rump 'N Roll"
"9780316107419"	"Happy Trails"
"9780316110495"	"Arthur's First Sleepover:  An Arthur Adventure"
"9780316115568"	"Arthur Accused: A Marc Brown Arthur Chapter Book 5 (Arthur Chapter Boo"
"9780316115926"	"Why I Write: Thoughts On The Craft Of Fiction (A Back Bay Book)"
"9780316116022"	"The Pinball Effect: How Renaissance Water Gardens Made The Carburetor "
"9780316116725"	"Connections"
"9780316120326"	"I Don't Want To Go To Jail: A Novel"
"9780316120869"	"All The Finest Girls: A Novel"
"9780316130134"	"Family Trade"
"9780316133173"	"The Thinker's Way : 8 Steps To A Richer Life"
"9780316134316"	"The Family Of Pascual Duarte"
"9780316136778"	"Love And Longing In Bombay: Stories"
"9780316137256"	"Gentleman Junkie: The Life And Legacy Of William S. Burroughs"
"9780316139281"	"The Ubiquitous Shrimp: From Simple To Exotic, From Feasts To Snacks, A"
"9780316139946"	"Face-Off"
"9780316140072"	"The Hit-Away Kid (Peach Street Mudders Story)"
"9780316140652"	"Johnny Long Legs"
"9780316141635"	"Olympic Dream (Matt Christopher Sports Classics)"
"9780316142335"	"At The Plate With...Ken Griffey Jr. (Matt Christopher Sports Bio Books"
"9780316142410"	"Skateboard Tough (Matt Christopher Sports Classics)"
"9780316142571"	"On The Ice With...Tara Lapinski (Athlete Biographies)"
"9780316143462"	"Dress Your Family In Corduroy And Denim"
"9780316150460"	"Cats And Their Women"
"9780316152198"	"Angels Flight (Harry Bosch)"
"9780316153911"	"Chasing The Dime"
"9780316153997"	"Blood Work"
"9780316154062"	"Void Moon"
"9780316155106"	"Coma: A Novel"
"9780316158725"	"The Archivist"
"9780316168687"	"The Dogs Of Babel"
"9780316168816"	"The Lovely Bones"
"9780316169226"	"The Cabal And Other Stories"
"9780316171106"	"Like A Hole In The Head"
"9780316171472"	"Masquerade"
"9780316171632"	"Tangled Vines"
"9780316172004"	"The Damnable Question: A Study In Anglo-Irish Relations"
"9780316181358"	"The Abuse Excuse: And Other Cop-Outs, Sob Stories, And Evasions Of Res"
"9780316182546"	"White Oleander: A Novel"
"9780316184151"	"Final Harvest: Poems"
"9780316196611"	"This Body: A Novel Of Reincarnation"
"9780316197472"	"Your Blue-Eyed Boy: A Novel"
"9780316198950"	"Jim The Boy : A Novel"
"9780316199643"	"Jim The Boy: A Novel"
"9780316235020"	"The Gift Of Fear : Survival Signals That Protect Us From Violence"
"9780316281690"	"Like Father, Like Daughter: How Father Shapes The Woman His Daughter B"
"9780316284950"	"White Oleander (Oprah's Book Club)"
"9780316285261"	"White Oleander"
"9780316286121"	"By The Great Horn Spoon!"
"9780316287555"	"Day Of Confession"
"9780316289122"	"Mr. Midshipman Hornblower (Hornblower Saga)"
"9780316290234"	"The Collector (Back Bay Books)"
"9780316291163"	"The French Lieutenant's Woman"
"9780316299237"	"Demon Of The Waters: The True Story Of The Mutiny On The Whaleship Glo"
"9780316313070"	"Victory Over Japan: A Book Of Stories (Back Bay Books)"
"9780316313209"	"The Anna Papers: A Novel"
"9780316314640"	"Rhoda: A Life In Stories"
"9780316314923"	"Sarah Conley"
"9780316316965"	"The Tipping Point: How Little Things Can Make A Big Difference"
"9780316317719"	"The Courts Of Love: Stories"
"9780316320276"	"Anarchy And Elegance: Confessions Of A Journalist At Yale Law School"
"9780316328197"	"Schrodinger's Kittens And The Search For Reality: Solving The Quantum "
"9780316346627"	"The Tipping Point: How Little Things Can Make A Big Difference"
"9780316353298"	"Blue Highways: A Journey Into America"
"9780316355209"	"Pentimento"
"9780316358453"	"Destination Moon (The Adventures Of Tintin)"
"9780316358484"	"The Red Sea Sharks (The Adventures Of Tintin)"
"9780316358569"	"The Blue Lotus (The Adventures Of Tintin)"
"9780316364515"	"Buzz Beamer's Out Of This World Series"
"9780316365529"	"Toot &amp; Puddle"
"9780316415026"	"Captain Saturday: A Novel"
"9780316418928"	"Home Fires Burning"
"9780316441797"	"Set Your Voice Free"
"9780316442176"	"Raveling"
"9780316454315"	"Twin Tales : The Magic And Mystery Of Multiple Birth"
"9780316460842"	"Just Plain Folks: Original Tales Of Living, Loving, Longing, And Learn"
"9780316472401"	"Sonny Liston Was A Friend Of Mine: Stories"
"9780316473040"	"The Pugilist At Rest: Stories"
"9780316485180"	"How To Get What You Want In Life With The Money You Already Have"
"9780316488358"	"The Fortune Telling Book: Reading Crystal Balls, Tea Leaves, Playing C"
"9780316507356"	"To Life!: A Celebration Of Jewish Being And Thinking"
"9780316507417"	"How Good Do We Have To Be?: A New Understanding Of Guilt And Forgivene"
"9780316526838"	"Deep Water Passage: A Spiritual Journey At Midlife"
"9780316542371"	"Toilet Learning: The Picture Book Technique For Children And Parents"
"9780316547338"	"Merry Christmas, Baby: Holiday Music From Bing To Sting"
"9780316548182"	"Long Walk To Freedom: The Autobiography Of Nelson Mandela"
"9780316555524"	"Provenance"
"9780316569323"	"White Oleander"
"9780316570824"	"Man In My Basement"
"9780316588034"	"The Face"
"9780316591126"	"Fear Itself: A Fearless Jones Novel"
"9780316592383"	"Fearless Jones (Fearless Jones Novel, No.1)"
"9780316597050"	"On A Street Called Easy, In A Cottage Called Joye"
"9780316601955"	"The Pilot's Wife (Oprah's Book Club)"
"9780316602051"	"The Jester"
"9780316602907"	"The Big Bad Wolf"
"9780316603287"	"The Lake House"
"9780316603577"	"3rd Degree"
"9780316613231"	"Lonely Girls With Burning Eyes: A Wife Recalls Her Husband's Journey H"
"9780316639842"	"Unnatural Exposure"
"9780316666008"	"1st To Die: A Novel (Women's Murder Club)"
"9780316666336"	"House Of Women: A Novel"
"9780316666343"	"The Lovely Bones: A Novel"
"9780316678100"	"Fortune's Rocks: A Novel"
"9780316690614"	"Cradle And All"
"9780316691178"	"Exiting Nirvana: A Daughter's Life With Autism"
"9780316693004"	"Four Blind Mice (Alex Cross)"
"9780316693202"	"2nd Chance"
"9780316693233"	"Violets Are Blue ~ Detective Alex Cross Series"
"9780316693257"	"Roses Are Red (Alex Cross)"
"9780316693288"	"Pop Goes The Weasel (Alex Cross)"
"9780316693295"	"Cat And Mouse (Alex Cross Novels)"
"9780316693325"	"When The Wind Blows"
"9780316693707"	"Kiss The Girls"
"9780316693714"	"Jack &amp; Jill (Alex Cross)"
"9780316693868"	"Hide &amp; Seek"
"9780316699129"	"Common Cents: A Retiring Six-Term Congressman Reveals How Congress Rea"
"9780316702751"	"Keeping You A Secret"
"9780316710572"	"Sam's Letters To Jennifer"
"9780316734509"	"The Bookseller Of Kabul"
"9780316735025"	"The True And Outstanding Adventures Of The Hunt Sisters: A Novel"
"9780316735117"	"Playing The Bones"
"9780316735735"	"All He Ever Wanted: A Novel"
"9780316744447"	"From Aaron To Zoe: 15,000 Great Baby Names"
"9780316748643"	"Pasquale's Nose: Idle Days In An Italian Town"
